date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:57	45668/45668	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Regular-webfont.ttf	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Regular-webfont.ttf	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:04:57	21457/21457	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Bold-webfont.eot	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Bold-webfont.eot	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:04:59	73361/73361	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Bold-webfont.svg	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Bold-webfont.svg	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:05:01	25144/25144	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Bold-webfont.woff	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Bold-webfont.woff	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:05:01	21457/21457	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Bold-webfont.eot?	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Bold-webfontd41d.eot	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:05:02	21661/21661	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Light-webfont.eot?	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Light-webfontd41d.eot	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:05:05	25204/25204	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Light-webfont.woff	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Light-webfont.woff	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:05:05	45452/45452	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Bold-webfont.ttf	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/roboto/RobotoCondensed-Bold-webfont.ttf	(from http://demo.highhay.com/firetime/fonts/roboto/stylesheet.css)
19:05:08	333834/333834	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/ionicons.svg?v=2.0.0	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/ionicons28b5.svg	(from http://demo.highhay.com/firetime/fonts/ionicons.min.css)
19:05:09	213/213	---M--	200	added ('OK')	image/png	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/js/vegas/overlays/02.png	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/js/vegas/overlays/02.png	(from http://demo.highhay.com/firetime/js/vegas/vegas.min.css)
19:05:17	67904/67904	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/ionicons.woff?v=2.0.0	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/ionicons28b5.woff	(from http://demo.highhay.com/firetime/fonts/ionicons.min.css)
19:05:17	48659/48659	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/img/bg-default.jpg	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/img/bg-default.jpg	(from http://demo.highhay.com/firetime/css/main.css)
19:05:18	2821/2821	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/js/particlejs/particles-init.js	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/js/particlejs/particles-init.js	(from http://demo.highhay.com/firetime/)
19:05:19	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/ionicons.eot?v=2.0.0	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/ionicons28b5.eot	(from http://demo.highhay.com/firetime/fonts/ionicons.min.css)
19:05:22	188508/188508	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/fonts/ionicons.ttf?v=2.0.0	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/ionicons28b5.ttf	(from http://demo.highhay.com/firetime/fonts/ionicons.min.css)
